Gene	sgRNA	HL60|beta	HL60|z	HL60|p-value	HL60|fdr	HL60|wald-p-value	HL60|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
KDM8	10	0.2885	1.5249	0.052	0.43802	0.12729	0.46796	-0.018133	-0.095814	0.872	0.94886	0.92367	0.9626
KIAA0040	10	-0.04406	-0.42694	0.945	0.98351	0.66942	0.89376	0.0032424	0.031421	0.787	0.90983	0.97493	0.99179
KIAA0141	10	0.1075	0.96234	0.393	0.82708	0.33588	0.6985	0.16001	1.4331	0.24	0.53452	0.15184	0.33893
KIAA0146	10	0.0054149	0.036033	0.841	0.94921	0.97126	0.98991	-0.15421	-1.026	0.591	0.79435	0.3049	0.50733
KIAA0430	10	0.20362	1.9058	0.144	0.61966	0.05668	0.33432	0.13464	1.2602	0.32	0.61657	0.2076	0.40866
KIAA0947	10	-0.29307	-1.7512	0.147	0.62041	0.079909	0.39793	-0.26453	-1.5815	0.285	0.58763	0.11375	0.28439
KIAA1024	10	0.26387	1.8401	0.072	0.5035	0.065758	0.36609	0.11663	0.81325	0.368	0.65018	0.41608	0.60842
KIAA1430	10	0.11369	1.1221	0.372	0.81223	0.26184	0.62996	0.067581	0.66704	0.516	0.74459	0.50475	0.68301
KIAA1462	10	0.066354	0.63298	0.567	0.92496	0.52675	0.82079	0.065292	0.62289	0.519	0.74499	0.53335	0.69994
KIAA1598	10	-0.001034	-0.0074387	0.873	0.96638	0.99406	1	-0.030552	-0.21981	0.925	0.95855	0.82602	0.90671
KIF18A	10	-0.091385	-0.52901	0.735	0.94921	0.5968	0.85536	-0.82748	-4.7836	0.002	0.034483	1.7219e-06	5.7396e-05
KLF1	10	-0.17301	-1.4718	0.41	0.83503	0.14108	0.48175	0.095832	0.8156	0.43	0.6944	0.41473	0.60842
KLF5	10	0.17572	1.0925	0.199	0.67003	0.27464	0.64038	0.23351	1.4525	0.109	0.367	0.14635	0.33186
KLHL21	10	0.033103	0.33124	0.717	0.94921	0.74047	0.9119	-0.13504	-1.351	0.656	0.8378	0.1767	0.36804
KLK1	10	0.22186	1.6851	0.123	0.59524	0.091977	0.42582	0.15666	1.1899	0.252	0.54902	0.23407	0.4367
KPNA5	10	0.023255	0.19093	0.767	0.94921	0.84858	0.95669	0.32622	2.6804	0.03	0.19481	0.0073535	0.04775
KPNA6	10	-0.041964	-0.38564	0.95	0.98351	0.69976	0.89965	-0.26097	-2.3973	0.287	0.58811	0.016515	0.086467
LANCL2	10	0.014182	0.12226	0.807	0.94921	0.9027	0.97431	-0.082785	-0.71361	0.857	0.93559	0.47547	0.65976
LBR	10	0.23685	2.0395	0.104	0.57459	0.041396	0.29152	0.17004	1.4643	0.218	0.51905	0.14312	0.32902
LCK	10	-0.050266	-0.42442	0.913	0.97647	0.67126	0.89382	0.12203	1.0305	0.354	0.6413	0.30276	0.50714
LDB1	10	0.085292	0.53147	0.479	0.88321	0.59509	0.85501	-0.0089224	-0.055595	0.835	0.93326	0.95566	0.97759
LDOC1	10	0.28236	2.0813	0.053	0.43802	0.037404	0.27913	0.26092	1.9234	0.077	0.32016	0.054425	0.18325
LEF1	10	0.14114	1.0564	0.286	0.76562	0.2908	0.65395	-0.10457	-0.78176	0.779	0.90476	0.43436	0.619
LEPRE1	10	-0.27259	-1.9813	0.185	0.65493	0.047554	0.30655	-0.22836	-1.6608	0.364	0.65	0.096753	0.26508
LFNG	10	0.057835	0.5162	0.613	0.94428	0.60572	0.85536	0.19508	1.7415	0.17	0.45822	0.081604	0.23699
LHX1	10	-0.059943	-0.58152	0.87	0.96559	0.56089	0.83715	0.13093	1.2705	0.333	0.62712	0.20391	0.40378
LHX8	10	-0.10814	-1.1292	0.653	0.94676	0.2588	0.62996	-0.17127	-1.7884	0.541	0.76197	0.073709	0.22201
LIG3	10	-0.094161	-0.56604	0.719	0.94921	0.57136	0.84408	-0.073884	-0.44444	0.901	0.95248	0.65673	0.78839
LMNB1	10	0.026849	0.2426	0.747	0.94921	0.80832	0.94429	0.070413	0.63637	0.512	0.74419	0.52454	0.69352
LMO4	10	0.26673	2.0681	0.072	0.5035	0.038631	0.28405	0.010273	0.079629	0.759	0.88876	0.93653	0.96713
LRP1	10	-0.08927	-0.80874	0.743	0.94921	0.41867	0.77667	0.011229	0.10176	0.757	0.88863	0.91894	0.96224
LTV1	10	-0.46756	-2.3686	0.014	0.23729	0.017854	0.21639	-0.59925	-3.0346	0.016	0.12598	0.0024089	0.0221
LZTS2	10	0.16197	1.5072	0.231	0.71472	0.13175	0.46888	0.24393	2.2701	0.095	0.34545	0.0232	0.10642
MAB21L2	10	0.031836	0.16997	0.722	0.94921	0.86503	0.96115	0.11742	0.62774	0.366	0.65018	0.53017	0.6976
MACROD2	10	-0.25935	-2.9525	0.207	0.67427	0.0031518	0.084938	-0.19001	-2.1637	0.481	0.72006	0.030484	0.1291
MAD1L1	10	-0.39788	-3.0815	0.043	0.40566	0.0020597	0.068562	-0.12191	-0.94491	0.716	0.86826	0.3447	0.54199
MAF1	10	0.31339	2.3417	0.032	0.34409	0.019198	0.21639	-0.22722	-1.6973	0.368	0.65018	0.089643	0.25359
MAP10	10	0.029944	0.34464	0.731	0.94921	0.73036	0.90882	0.085171	0.98052	0.456	0.70661	0.32683	0.52727
MAP1S	10	0.09265	0.72251	0.448	0.86654	0.46998	0.79809	-0.06992	-0.54498	0.913	0.95507	0.58577	0.73682
MAP3K1	10	0.29448	1.6667	0.046	0.41071	0.095581	0.43432	0.24118	1.3651	0.1	0.35664	0.17223	0.36111
MAPK14	10	-0.33058	-2.5418	0.091	0.55152	0.01103	0.1779	-0.12951	-0.99633	0.673	0.85298	0.31909	0.51969
MAPK3	10	-0.11595	-1.0908	0.623	0.94428	0.27536	0.64038	-0.31898	-3.0007	0.178	0.47215	0.0026937	0.023399
MARK2	10	0.37608	2.7126	0.009	0.16981	0.0066757	0.14002	0.37655	2.7162	0.013	0.11504	0.0066046	0.04403
MAST2	10	0.020979	0.20976	0.78	0.94921	0.83385	0.94972	0.22962	2.2966	0.118	0.3871	0.021644	0.10356
MAST3	10	0.10221	0.57203	0.408	0.83265	0.5673	0.84169	0.20537	1.1498	0.152	0.42817	0.25024	0.45484
MBD1	10	-0.10107	-0.83441	0.689	0.9478	0.40405	0.76058	0.16252	1.3453	0.236	0.53452	0.17853	0.36887
MBD3	10	-0.071874	-0.60081	0.816	0.94921	0.54797	0.83614	-0.20427	-1.7075	0.437	0.69697	0.087737	0.2514
MCM6	10	-0.56188	-2.1945	0.003	0.081081	0.028197	0.24953	-1.1157	-4.3402	0	0	1.4233e-05	0.00034715
MCM7	10	-0.44794	-2.0326	0.021	0.27273	0.042093	0.29321	-1.0248	-4.6359	0	0	3.5534e-06	0.00010768
MDN1	10	-0.3968	-2.0119	0.043	0.40566	0.044227	0.29669	-0.77287	-3.9038	0.004	0.056338	9.4684e-05	0.0016325
MED14	10	0.55614	1.5989	0.003	0.081081	0.10985	0.44472	0.58655	1.6856	0.002	0.034483	0.091878	0.2558
MED22	10	-0.016656	-0.058974	0.937	0.98115	0.95297	0.98707	0.022235	0.078856	0.707	0.86826	0.93715	0.96713
MED31	10	-0.42361	-2.7645	0.03	0.33708	0.0057009	0.12957	-0.12361	-0.80874	0.701	0.86543	0.41866	0.60852
MEX3B	10	0.0085874	0.069803	0.833	0.94921	0.94435	0.98707	0.18501	1.505	0.188	0.48205	0.13232	0.3106
MIER2	10	0.097109	0.74158	0.433	0.85913	0.45834	0.79259	0.061313	0.46826	0.531	0.75533	0.6396	0.77433
MIXL1	10	0.11053	0.84566	0.382	0.81624	0.39774	0.75947	0.099999	0.76513	0.415	0.68033	0.4442	0.63006
MKNK1	10	-0.17642	-0.94659	0.397	0.82708	0.34385	0.70606	-0.13028	-0.69981	0.669	0.84898	0.48404	0.6666
MLF1IP	10	-0.012171	-0.10191	0.921	0.97875	0.91883	0.97852	-0.058456	-0.48947	0.961	0.97467	0.62451	0.76067
MLL4	10	-0.28991	-1.7439	0.155	0.625	0.081178	0.39793	-0.35807	-2.154	0.132	0.40491	0.03124	0.13071
MLL5	10	0.010123	0.085971	0.829	0.94921	0.93149	0.98155	0.30937	2.6286	0.039	0.22674	0.0085733	0.052922
MLLT1	10	0.0050346	0.042353	0.844	0.94949	0.96622	0.98991	-0.20312	-1.7085	0.441	0.69778	0.087535	0.2514
MLL	10	-0.30949	-2.0417	0.112	0.58031	0.041182	0.29152	-0.96865	-6.3818	0.002	0.034483	1.75e-10	2.1875e-08
MNS1	10	0.10386	1.048	0.405	0.82992	0.29463	0.65395	0.00052549	0.0053021	0.798	0.91619	0.99577	1
MNT	10	-0.51334	-3.4308	0.008	0.16667	0.00060189	0.042946	-0.30555	-2.0427	0.2	0.50124	0.041084	0.15328
MOB1B	10	0.23863	1.9762	0.103	0.57459	0.048128	0.30655	0.16646	1.3785	0.226	0.52927	0.16804	0.35634
MOBP	10	-0.029394	-0.22759	0.99	0.99698	0.81996	0.94449	0.0024928	0.019314	0.79	0.91119	0.98459	0.99824
MORF4L2	10	0.31417	1.7447	0.032	0.34409	0.081041	0.39793	0.25176	1.3982	0.081	0.32016	0.16206	0.35078
MPHOSPH10	10	-0.97093	-4.1262	0	0	3.6888e-05	0.012296	-1.675	-7.0971	0	0	1.2737e-12	3.1841e-10
MPHOSPH8	10	0.062759	0.47289	0.589	0.93651	0.63629	0.87282	-0.33333	-2.5095	0.156	0.43454	0.01209	0.069789
MPHOSPH9	10	-0.078798	-0.67434	0.783	0.94921	0.5001	0.80002	0.34706	2.9719	0.018	0.13139	0.0029596	0.024663
MRE11A	10	0.094224	0.68912	0.444	0.86654	0.49075	0.80002	-0.11075	-0.80992	0.758	0.88863	0.41799	0.60842
MRFAP1	10	-0.2292	-2.2326	0.266	0.74095	0.025575	0.24851	-0.071593	-0.69783	0.909	0.95507	0.48529	0.6666
MRPL40	10	-0.41226	-2.6474	0.038	0.38	0.0081108	0.1497	-0.47089	-3.0243	0.06	0.27907	0.0024924	0.022659
MTDH	10	0.19315	1.4418	0.159	0.62598	0.14936	0.49462	0.009135	0.068172	0.762	0.88915	0.94565	0.97089
MTF2	10	-0.053116	-0.31008	0.9	0.97192	0.7565	0.92338	-0.22171	-1.2938	0.385	0.66437	0.19572	0.39408
MTG1	10	-0.23934	-1.3618	0.247	0.73077	0.17325	0.53239	-0.60998	-3.4685	0.013	0.11504	0.00052338	0.0063827
MUL1	10	0.069422	0.69018	0.554	0.91901	0.49008	0.80002	-0.057221	-0.56887	0.962	0.97467	0.56944	0.72819
MYCL1	10	0.013054	0.087327	0.809	0.94921	0.93041	0.98145	-0.024231	-0.16216	0.894	0.95106	0.87118	0.93174
MYCT1	10	0.13516	0.99446	0.301	0.7659	0.32	0.68085	0.15624	1.1497	0.252	0.54902	0.25025	0.45484
MYO3A	10	0.46793	2.3679	0.003	0.081081	0.017889	0.21639	0.27304	1.3814	0.067	0.30045	0.16715	0.35565
MYOF	10	0.012059	0.11843	0.814	0.94921	0.90573	0.97431	0.0066626	0.065438	0.772	0.89767	0.94783	0.97213
MYPOP	10	-0.11696	-1.0606	0.618	0.94428	0.28888	0.65395	-0.070865	-0.64296	0.912	0.95507	0.52025	0.69182
MYRF	10	0.18247	1.4263	0.184	0.65493	0.15379	0.50421	0.024192	0.18908	0.699	0.86543	0.85003	0.91697
NACA	10	-0.1212	-0.56573	0.597	0.9375	0.57158	0.84408	-0.47328	-2.2052	0.059	0.2757	0.027443	0.1209
NACC2	10	0.027336	0.1925	0.744	0.94921	0.84735	0.95669	0.29408	2.0723	0.046	0.24084	0.038236	0.14763
NAP1L2	10	-0.074315	-0.64021	0.808	0.94921	0.52204	0.81814	0.024385	0.21014	0.699	0.86543	0.83356	0.91199
NARG2	10	0.016272	0.15517	0.797	0.94921	0.87669	0.96695	0.11086	1.0576	0.38	0.66202	0.29024	0.4924
NCAPH2	10	-0.31305	-2.0093	0.108	0.58031	0.044504	0.29669	-0.35895	-2.3046	0.13	0.40248	0.021189	0.10256
NCAPH	10	-0.089767	-0.6866	0.74	0.94921	0.49234	0.80002	-0.59046	-4.5123	0.017	0.13139	6.4124e-06	0.00016875
NCDN	10	-0.32958	-2.5509	0.094	0.56287	0.010746	0.1779	-0.021026	-0.1628	0.887	0.95075	0.87067	0.93174
NCF2	10	0.050184	0.3914	0.644	0.94428	0.6955	0.89885	0.093692	0.73083	0.434	0.6944	0.46489	0.64838
NCOA1	10	0.10308	0.70023	0.405	0.82992	0.48378	0.79809	0.080993	0.55028	0.474	0.71601	0.58213	0.73501
NCOA3	10	0.2363	1.9368	0.104	0.57459	0.052765	0.32174	-0.065975	-0.5404	0.925	0.95855	0.58892	0.73793
NCOR1	10	-0.21536	-1.4324	0.299	0.7659	0.15204	0.50014	-0.31872	-2.1193	0.179	0.4723	0.034066	0.13792
NDRG1	10	0.13479	1.1561	0.301	0.7659	0.24765	0.61722	0.35591	3.0563	0.016	0.12598	0.0022408	0.02142
NDUFAF6	10	0.15368	1.2309	0.247	0.73077	0.21836	0.58866	-0.035304	-0.28273	0.94	0.97007	0.77739	0.87642
NEDD1	10	-0.34658	-2.3687	0.078	0.53061	0.017853	0.21639	-0.11081	-0.75766	0.758	0.88863	0.44865	0.6328
NEDD4	10	-0.12326	-0.82485	0.587	0.93651	0.40946	0.76656	0.17012	1.1395	0.218	0.51905	0.25451	0.45914
NEIL1	10	-0.073038	-0.62869	0.812	0.94921	0.52955	0.82229	-0.10368	-0.89249	0.781	0.90603	0.37213	0.56814
NEK6	10	0.33943	2.3062	0.018	0.26761	0.021099	0.22446	0.44126	2.9984	0.005	0.067568	0.0027143	0.023399
NEMF	10	-0.095596	-0.67453	0.714	0.94921	0.49998	0.80002	-0.051184	-0.36128	0.988	0.99296	0.71789	0.83919
NFATC4	10	0.288	1.5529	0.052	0.43802	0.12046	0.46689	0.053402	0.28768	0.566	0.78502	0.77359	0.87515
NGFRAP1	10	0.15561	0.68471	0.244	0.72836	0.49353	0.80002	0.43454	1.9182	0.007	0.088608	0.055082	0.18422
NHEJ1	10	-0.073104	-0.49787	0.812	0.94921	0.61858	0.86187	-0.29838	-2.031	0.218	0.51905	0.042258	0.15449
NHP2L1	10	-0.41066	-2.287	0.039	0.38614	0.022197	0.23122	-1.055	-5.8706	0	0	4.3425e-09	3.1018e-07
NKX2-5	10	0.14326	0.99519	0.273	0.74387	0.31964	0.68085	0.35633	2.4791	0.016	0.12598	0.01317	0.072761
NKX2-8	10	0.27504	1.6475	0.063	0.49606	0.099459	0.43432	0.31262	1.873	0.039	0.22674	0.061073	0.19388
NKX3-2	10	-0.013193	-0.076346	0.925	0.97884	0.93914	0.98556	0.034039	0.19715	0.653	0.83504	0.84371	0.91697
NKX6-1	10	-0.086642	-0.7821	0.752	0.94921	0.43416	0.77667	-0.067903	-0.61341	0.917	0.9562	0.5396	0.70629
NKX6-2	10	-0.027883	-0.1832	0.98	0.9909	0.85464	0.96045	0.16309	1.0724	0.234	0.53452	0.28352	0.48548
NLRC5	10	-0.054096	-0.61617	0.892	0.96641	0.53778	0.82736	0.019672	0.22408	0.716	0.86826	0.82269	0.90467
NOBOX	10	0.21357	1.5407	0.135	0.59912	0.12339	0.46727	0.37642	2.7177	0.013	0.11504	0.006573	0.04403
NOD2	10	0.059067	0.53644	0.608	0.94281	0.59165	0.85362	0.3022	2.7457	0.044	0.24044	0.0060391	0.041711
NOL4	10	-0.035481	-0.2619	0.981	0.99091	0.7934	0.93782	0.075399	0.55669	0.488	0.72296	0.57774	0.73224
NOP16	10	-0.4543	-2.1472	0.019	0.26761	0.031781	0.26767	-1.2469	-5.8776	0	0	4.162e-09	3.1018e-07
NOP56	10	-0.11101	-0.60017	0.644	0.94428	0.54839	0.83614	-0.23574	-1.2741	0.35	0.6413	0.20263	0.40204
NPLOC4	10	0.067169	0.34058	0.559	0.92092	0.73342	0.90882	-0.12054	-0.61068	0.719	0.86826	0.54141	0.70773
NPPB	10	0.1163	0.70813	0.361	0.8058	0.47886	0.79809	0.26326	1.6057	0.077	0.32016	0.10833	0.27698
NQO2	10	0.0062673	0.052568	0.838	0.94921	0.95808	0.98707	0.045841	0.38468	0.587	0.79111	0.70047	0.82898
NR2C1	10	0.1712	1.265	0.206	0.67427	0.20587	0.57345	0.28862	2.1329	0.052	0.25616	0.032934	0.13481
NRBP2	10	0.24	1.4537	0.1	0.57459	0.14603	0.49003	-0.091217	-0.55229	0.828	0.93251	0.58075	0.7342
NRM	10	0.11393	0.7647	0.37	0.80963	0.44445	0.78511	0.1712	1.1495	0.216	0.51905	0.25035	0.45484
NUDT12	10	0.23535	1.6037	0.106	0.58031	0.10878	0.44472	0.44085	3.0053	0.005	0.067568	0.0026529	0.023271
NUDT16	10	-0.049724	-0.25498	0.914	0.9765	0.79874	0.94026	0.014145	0.072606	0.738	0.87962	0.94212	0.97066
NUF2	10	0.11998	0.6979	0.347	0.79271	0.48524	0.79809	-0.26348	-1.5294	0.287	0.58811	0.12616	0.30379
NUP133	10	-0.31727	-2.8519	0.102	0.57459	0.0043463	0.10866	-0.40702	-3.6585	0.099	0.35484	0.00025365	0.0034277
NUP155	10	-0.21026	-1.2299	0.311	0.78195	0.21875	0.58866	-0.74608	-4.3612	0.004	0.056338	1.2933e-05	0.00032331
NUP160	10	-0.33878	-1.6622	0.086	0.5375	0.096478	0.43432	-0.57609	-2.8219	0.022	0.15493	0.0047747	0.034862
NUP214	10	-0.22054	-1.8076	0.29	0.76562	0.070674	0.37424	0.06464	0.53023	0.52	0.74499	0.59595	0.74308
NUP35	10	-0.10056	-0.74506	0.689	0.9478	0.45623	0.79259	-0.01395	-0.10338	0.851	0.93559	0.91766	0.96191
NUP54	10	-0.21427	-1.4467	0.301	0.7659	0.14799	0.4933	-0.16366	-1.1055	0.568	0.78562	0.26896	0.47023
NVL	10	-0.39241	-1.9773	0.043	0.40566	0.04801	0.30655	-0.90752	-4.5635	0.002	0.034483	5.0303e-06	0.00014372
NXF3	10	0.051696	0.40793	0.639	0.94428	0.68332	0.8972	0.38108	3.0077	0.013	0.11504	0.0026326	0.023271
OAS1	10	0.24354	1.8728	0.096	0.57143	0.061092	0.3491	0.13542	1.0413	0.319	0.61657	0.29772	0.50121
OBFC1	10	-0.53524	-2.3574	0.006	0.13953	0.018402	0.21639	-0.57963	-2.5532	0.021	0.15108	0.010674	0.063533
OGT	10	-0.33017	-2.5486	0.091	0.55152	0.010814	0.1779	-0.44305	-3.4189	0.076	0.32016	0.00062867	0.0073102
ONECUT1	10	0.061338	0.60782	0.598	0.9375	0.54331	0.83429	0.084214	0.83456	0.459	0.70661	0.40397	0.59758
OSGIN2	10	-0.056132	-0.4038	0.882	0.96638	0.68636	0.8972	-0.079145	-0.56946	0.875	0.95005	0.56905	0.72819
OTP	10	0.31755	2.0462	0.03	0.33708	0.040733	0.29095	0.24605	1.5855	0.091	0.33955	0.11284	0.28405
OXSR1	10	0.0096204	0.083907	0.831	0.94921	0.93313	0.98224	-0.075276	-0.65654	0.89	0.95085	0.51148	0.68833
PA2G4	10	0.12547	0.9639	0.333	0.78723	0.3351	0.6985	-0.13816	-1.0612	0.644	0.83312	0.2886	0.49165
PABPC4	10	-0.085812	-0.5885	0.754	0.94921	0.55619	0.83647	-0.093112	-0.6389	0.824	0.93251	0.52289	0.69348
PADI3	10	0.15617	1.5301	0.243	0.72836	0.12599	0.46727	0.051868	0.50817	0.572	0.78755	0.61133	0.75058
PAF1	10	-0.25923	-1.2658	0.207	0.67427	0.20557	0.57345	-0.81874	-3.9855	0.002	0.034483	6.735e-05	0.0012472
PAFAH1B2	10	0.13206	1.1985	0.312	0.78195	0.23072	0.59618	0.097051	0.88096	0.426	0.69381	0.37834	0.57174
PAK6	10	0.20105	1.8684	0.149	0.62041	0.0617	0.35057	0.25501	2.3701	0.081	0.32016	0.017781	0.091656
PAN2	10	-0.13624	-1.0447	0.538	0.9042	0.29617	0.65395	0.047636	0.36567	0.584	0.78919	0.71461	0.83875
PARP15	10	-0.042196	-0.40479	0.95	0.98351	0.68563	0.8972	0.13437	1.2897	0.323	0.61742	0.19717	0.39408
PAX1	10	0.21661	1.2858	0.132	0.59912	0.19852	0.56719	0.3333	1.981	0.027	0.17881	0.04759	0.16816
PAX7	10	-0.086195	-0.66819	0.752	0.94921	0.50401	0.80002	0.14225	1.1043	0.304	0.60714	0.26944	0.47023
PBK	10	0.34258	2.6711	0.018	0.26761	0.0075594	0.1468	0.36688	2.8608	0.013	0.11504	0.0042263	0.033018
PBX1	10	0.043717	0.38542	0.671	0.9478	0.69992	0.89965	0.11217	0.989	0.378	0.65969	0.32266	0.5238
PCGF2	10	0.1771	1.6301	0.197	0.67003	0.10308	0.43786	0.013172	0.12124	0.746	0.88599	0.9035	0.95306
PCNT	10	-0.39125	-2.3291	0.045	0.41071	0.019854	0.21817	-0.68584	-4.0798	0.009	0.10345	4.5068e-05	0.00091976
PDC	10	-0.13335	-0.73804	0.549	0.91806	0.46049	0.79395	-0.20228	-1.1196	0.446	0.70312	0.26288	0.46671
PDGFC	10	0.30557	1.695	0.038	0.38	0.090073	0.41937	0.091192	0.50548	0.439	0.69778	0.61322	0.75058
PDGFRA	10	0.18409	1.6356	0.18	0.65455	0.10193	0.43786	0.24721	2.1966	0.089	0.33708	0.02805	0.12303
PDK2	10	0.019098	0.12565	0.788	0.94921	0.90001	0.97431	0.12313	0.81057	0.353	0.6413	0.41761	0.60842
PDLIM2	10	0.044228	0.36425	0.669	0.9478	0.71567	0.90029	-0.014525	-0.11963	0.854	0.93559	0.90478	0.9534
PDS5B	10	0.28725	2.3949	0.052	0.43802	0.016626	0.21639	0.12042	1.0039	0.357	0.64324	0.31544	0.51796
PDZD2	10	0.12087	0.78677	0.342	0.79128	0.43141	0.77667	0.053487	0.34818	0.566	0.78502	0.72771	0.84749
PEG3	10	-0.0061701	-0.051904	0.891	0.96638	0.9586	0.98707	0.3467	2.919	0.018	0.13139	0.0035118	0.027872
PER2	10	0.0059795	0.052404	0.84	0.94921	0.95821	0.98707	0.030112	0.26408	0.682	0.8622	0.79172	0.88738
PERP	10	-0.024947	-0.17711	0.966	0.98675	0.85942	0.96092	0.29331	2.0838	0.047	0.24479	0.037175	0.14492
PEX14	10	-0.072575	-0.52345	0.814	0.94921	0.60066	0.85536	-0.43028	-3.0987	0.082	0.32157	0.0019435	0.019278
PGC	10	-0.071121	-0.28174	0.817	0.94921	0.77814	0.92968	0.26437	1.0521	0.077	0.32016	0.29275	0.49534
PHB	10	-0.40738	-1.5447	0.04	0.39216	0.12241	0.46727	-1.1413	-4.3012	0	0	1.6991e-05	0.00039513
PHF11	10	0.22724	1.4866	0.116	0.59184	0.13711	0.47723	0.17294	1.1314	0.214	0.51905	0.25787	0.46022
PHF13	10	-0.091283	-0.78355	0.736	0.94921	0.4333	0.77667	0.036226	0.311	0.645	0.83333	0.7558	0.86522
PHF19	10	0.12171	0.71651	0.341	0.79128	0.47368	0.79809	0.29195	1.7193	0.048	0.24615	0.085558	0.24657
PIK3R4	10	-0.12428	-0.94431	0.584	0.9344	0.34501	0.70699	-0.2754	-2.0925	0.259	0.55819	0.036398	0.14426
PLIN2	10	-0.11549	-0.9244	0.625	0.94428	0.35528	0.72395	-0.21557	-1.7255	0.401	0.66889	0.084437	0.24404
PLK1S1	10	0.12151	0.79896	0.341	0.79128	0.42431	0.77667	0.24552	1.6147	0.092	0.34074	0.10638	0.27698
PMS1	10	0.33782	2.3306	0.018	0.26761	0.019772	0.21817	0.16153	1.1144	0.24	0.53452	0.26513	0.46831
PNISR	10	0.032154	0.2027	0.719	0.94921	0.83937	0.95383	0.14932	0.94177	0.278	0.57676	0.34631	0.54366
PNLDC1	10	0.17294	1.1151	0.204	0.67327	0.2648	0.63349	0.40924	2.6397	0.008	0.096386	0.0082979	0.051665
PNMA2	10	0.066188	0.21831	0.567	0.92496	0.82718	0.94644	-0.026431	-0.087175	0.902	0.95248	0.93053	0.96528
PNN	10	0.099828	0.65622	0.426	0.852	0.51169	0.80941	0.18802	1.2366	0.182	0.47644	0.21623	0.41824
POLA2	10	-1.2242	-5.4704	0	0	4.4905e-08	4.4905e-05	-1.4566	-6.498	0	0	8.1377e-11	1.1625e-08
POLD1	10	0.058925	0.4202	0.608	0.94281	0.67434	0.89553	-0.25015	-1.7816	0.316	0.61598	0.074811	0.22398
POLDIP2	10	0.029758	0.14957	0.732	0.94921	0.88111	0.96931	-0.006338	-0.031875	0.826	0.93251	0.97457	0.99179
POLE3	10	0.032864	0.22256	0.718	0.94921	0.82388	0.9463	-0.25209	-1.706	0.311	0.61462	0.088003	0.25144
POLE4	10	0.15412	1.2021	0.247	0.73077	0.22933	0.59411	-0.40571	-3.161	0.101	0.35664	0.0015722	0.016377
POLR1B	10	-0.50534	-2.2287	0.009	0.16981	0.025835	0.24851	-0.86466	-3.8109	0.002	0.034483	0.00013847	0.0021763
POLR2D	10	-0.77611	-3.4721	0	0	0.0005164	0.039723	-1.193	-5.3204	0	0	1.0354e-07	4.7064e-06
POLR2E	10	-0.95307	-4.0473	0	0	5.1804e-05	0.012951	-1.789	-7.486	0	0	7.1019e-14	3.551e-11
POU2F1	10	-0.43181	-3.1561	0.027	0.3253	0.0015987	0.063358	-0.20008	-1.463	0.448	0.70312	0.14345	0.32902
PPM1M	10	-0.094267	-0.8142	0.718	0.94921	0.41553	0.77236	-0.0063675	-0.055066	0.826	0.93251	0.95609	0.97759
PPP1R15A	10	-0.069644	-0.52333	0.824	0.94921	0.60074	0.85536	-0.18811	-1.4135	0.487	0.72296	0.1575	0.34355
PPP1R16B	10	0.2476	2.2078	0.089	0.54601	0.027259	0.24851	0.10711	0.95501	0.391	0.6661	0.33957	0.5374
PPP2R2A	10	0.15929	1.0189	0.234	0.7156	0.30825	0.66865	-0.14966	-0.95721	0.611	0.8125	0.33846	0.53724
PPP2R5C	10	0.11677	0.90839	0.359	0.80493	0.36367	0.73026	0.25152	1.9573	0.081	0.32016	0.050316	0.17145
PPP6R1	10	0.37715	2.7428	0.009	0.16981	0.0060921	0.13538	-0.10744	-0.78123	0.766	0.89173	0.43467	0.619
PQBP1	10	0.005327	0.042595	0.841	0.94921	0.96602	0.98991	0.16244	1.2993	0.236	0.53452	0.19383	0.39236
PRDX1	10	0.035568	0.2471	0.706	0.94921	0.80483	0.94353	0.26506	1.8424	0.077	0.32016	0.06542	0.20352
PREB	10	-0.9655	-3.5969	0	0	0.00032204	0.033466	-1.7133	-6.2526	0	0	4.036e-10	4.036e-08
PRKACA	10	0.35319	2.5421	0.015	0.25	0.011019	0.1779	0.27497	1.9791	0.065	0.29545	0.047804	0.16832
PRKAG3	10	0.027122	0.18408	0.745	0.94921	0.85395	0.96045	-0.037492	-0.25449	0.952	0.97467	0.79912	0.89287
PRKD2	10	0.15609	0.91129	0.244	0.72836	0.36214	0.72866	0.52309	3.0552	0.002	0.034483	0.0022491	0.02142
PRM3	10	-0.045878	-0.4541	0.93	0.98115	0.64976	0.88075	0.060506	0.59904	0.535	0.75706	0.54915	0.71226
PRMT6	10	0.0079496	0.06172	0.836	0.94921	0.95079	0.98707	-0.072758	-0.56489	0.906	0.95469	0.57215	0.72929
PRPF39	10	-0.0063387	-0.049622	0.891	0.96638	0.96042	0.98707	-0.076327	-0.59753	0.887	0.95075	0.55015	0.71244
PRPF6	10	-0.74419	-3.1474	0	0	0.0016473	0.063358	-1.1712	-4.8929	0	0	9.938e-07	3.6807e-05
PRX	10	-0.3086	-2.0888	0.116	0.59184	0.036729	0.27616	-0.2769	-1.8747	0.253	0.55	0.060836	0.19375
